num,Accuracy,Precision,ReCall,F-Score
5373,0.87459440498114527,0.15983321751216123,0.50997782705099781,0.24338624338624337
5423,0.87354205033763044,0.15851137146795313,0.50997782705099781,0.24185068349106204
5473,0.87485749364202403,0.16063977746870653,0.51219512195121952,0.24457384859714135
5523,0.87643602560729628,0.15980113636363635,0.49889135254988914,0.24206562668101131
5573,0.87485749364202403,0.15826330532212884,0.50110864745011086,0.2405534858967536
5623,0.87801455757256863,0.16476462196861627,0.51219512195121952,0.24932541824069077
5673,0.87494518986231695,0.15932914046121593,0.50554323725055428,0.2422954303931987
5723,0.8765237218275892,0.16279069767441862,0.51219512195121952,0.24705882352941178
5773,0.87959308953784088,0.16399416909620992,0.49889135254988914,0.24684585847504117
5823,0.88073314040164874,0.16605437178545188,0.50110864745011086,0.24944812362030905
5873,0.87976848197842672,0.16325036603221083,0.49445676274944567,0.24545954870665931
5923,0.88143471016399189,0.16555308092056423,0.49445676274944567,0.24805339265850945
5973,0.87810225379286155,0.16344086021505377,0.50554323725055428,0.24702058504875407
6023,0.88125931772340615,0.1653076352853966,0.49445676274944567,0.24777777777777782
6073,0.8765237218275892,0.1594306049822064,0.49667405764966743,0.2413793103448276
6123,0.88117162150311323,0.16268656716417909,0.48337028824833705,0.2434394193188163
6173,0.87178812593177235,0.15913688469318948,0.52328159645232819,0.24405377456049643
6223,0.87959308953784088,0.1635036496350365,0.49667405764966743,0.24601867105985725
6273,0.87687450670876088,0.16037063435495366,0.49889135254988914,0.24271844660194172
6323,0.87783916513198279,0.16163793103448276,0.49889135254988914,0.24416711882799783
6373,0.88634569850039469,0.16914643696162882,0.47893569844789358,0.25
6423,0.88204858370604222,0.16691505216095381,0.49667405764966743,0.24986056887897382
6473,0.8801192668595984,0.16372980910425844,0.49445676274944567,0.24600110314396029
6523,0.88204858370604222,0.16641791044776119,0.49445676274944567,0.24902289223897264
6573,0.87836534245374021,0.16475644699140402,0.50997782705099781,0.24905251759610181
6623,0.87994387441901256,0.16447368421052633,0.49889135254988914,0.24738867509620674
6673,0.8792423046566693,0.16351744186046513,0.49889135254988914,0.24630541871921183
6723,0.88187319126545649,0.16567164179104477,0.49223946784922396,0.24790619765494135
6773,0.88292554590897132,0.1646433990895296,0.48115299334811529,0.24533634821933298
6823,0.88038235552047706,0.16359616801768606,0.49223946784922396,0.24557522123893805
6873,0.88187319126545649,0.16716196136701336,0.49889135254988914,0.25041736227045075
6923,0.88818731912654569,0.1704,0.47228381374722839,0.25044091710758382
6973,0.96044900464789973,0.0,0.0,0.0
7023,0.96044900464789973,0.0,0.0,0.0
7073,0.96044900464789973,0.0,0.0,0.0
7123,0.96044900464789973,0.0,0.0,0.0
7173,0.96044900464789973,0.0,0.0,0.0
7223,0.96044900464789973,0.0,0.0,0.0
7273,0.96044900464789973,0.0,0.0,0.0
7323,0.96044900464789973,0.0,0.0,0.0
7373,0.96044900464789973,0.0,0.0,0.0
7423,0.96044900464789973,0.0,0.0,0.0
7473,0.96044900464789973,0.0,0.0,0.0
7523,0.96044900464789973,0.0,0.0,0.0
7573,0.96044900464789973,0.0,0.0,0.0
7623,0.96044900464789973,0.0,0.0,0.0
7673,0.96044900464789973,0.0,0.0,0.0
7723,0.96044900464789973,0.0,0.0,0.0
7773,0.96044900464789973,0.0,0.0,0.0
7823,0.96044900464789973,0.0,0.0,0.0
7873,0.96044900464789973,0.0,0.0,0.0
7923,0.96044900464789973,0.0,0.0,0.0
7973,0.96044900464789973,0.0,0.0,0.0
8023,0.96044900464789973,0.0,0.0,0.0
8073,0.96044900464789973,0.0,0.0,0.0
8123,0.96044900464789973,0.0,0.0,0.0
8173,0.96044900464789973,0.0,0.0,0.0
